x = 39
y = 23
tilecode = 11111111111111111111111111111111111111110000000000000000000000000001111000011110000000000100010000010000001111000011110000000000d0001000011100000d0000000111100000000001d111000001000000111011101111000000000000010000000000000111d111d111111d1100000011100000000000001110111011110000000000000000000000000000d0011101111000000000000000000000000000111000001111000001100011d10000001000000111011101111000000100010000000011110000111d111d111100000011111000000000100000011001110111100000000000000000000000000011011110111100111111111111010111101111111011110111101111111111111010111101111111000010111101111111111111d1011110111111101100011110111111111111101d111101111111011111111101111111111111010111101111111011111111101111111111111010111000111111011111111100000000000000000000000000000011111111111110000000000000000000111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
tileElement, 2, 6 = niche, N
tileElement, 3, 6 = switch, S
tileElement, 3, 6 = switch, E
tileElement, 3, 6 = switch, W
tileElement, 3, 6 = switch, N
tileElement, 5, 6 = niche, E
tileElement, 5, 6 = niche, N
tileElement, 6, 9 = niche, N
tileElement, 7, 9 = niche, N
tileElement, 11, 2 = niche, W
tileElement, 11, 3 = switch, S
tileElement, 11, 3 = switch, E
tileElement, 11, 3 = switch, W
tileElement, 11, 3 = switch, N
tileElement, 11, 4 = niche, W
tileElement, 12, 4 = switch, S
tileElement, 12, 4 = switch, E
tileElement, 12, 4 = switch, W
tileElement, 12, 4 = switch, N
tileElement, 13, 9 = switch, S
tileElement, 13, 9 = switch, E
tileElement, 13, 9 = switch, W
tileElement, 13, 9 = switch, N
tileElement, 15, 15 = switch, S
tileElement, 15, 15 = switch, E
tileElement, 15, 15 = switch, W
tileElement, 15, 15 = switch, N
tileElement, 17, 16 = switch, S
tileElement, 17, 16 = switch, E
tileElement, 17, 16 = switch, W
tileElement, 17, 16 = switch, N
tileElement, 20, 10 = niche, W
tileElement, 21, 9 = niche, N
tileElement, 23, 10 = niche, E
tileElement, 28, 3 = switch, S
tileElement, 28, 3 = switch, E
tileElement, 28, 3 = switch, W
tileElement, 28, 3 = switch, N
tileElement, 29, 7 = switch, S
tileElement, 29, 7 = switch, E
tileElement, 29, 7 = switch, W
tileElement, 29, 7 = switch, N
tileElement, 31, 5 = switch, S
tileElement, 31, 5 = switch, E
tileElement, 31, 5 = switch, W
tileElement, 31, 5 = switch, N
tileElement, 31, 10 = switch, S
tileElement, 31, 10 = switch, E
tileElement, 31, 10 = switch, W
tileElement, 31, 10 = switch, N
tileElement, 35, 5 = switch, S
tileElement, 35, 5 = switch, E
tileElement, 35, 5 = switch, W
tileElement, 35, 5 = switch, N
tileElement, 35, 10 = switch, S
tileElement, 35, 10 = switch, E
tileElement, 35, 10 = switch, W
tileElement, 35, 10 = switch, N
