x = 33
y = 27
tilecode = 111111111111111111111111011111111100000001111111111111111001111111100000001111111111111110001111111100000001000d0000000000001111111110000000d001111111111111011111111100000001000d0000d00000d01111111110000000110111111111011101111111110000001110111111111d111000000011111d110101001111111001111d111100111101100011011111100000000111110111101111111011111101101100111110111101111111001111101100110011110111100001111100000001100111011110111101100d00000111100111111000110111101101111110011110111000000110111101101111111011110010000011110110001101111110011111d1111d11000011000000001000000011000000001d111111100100010000000d000000000000111111101111110010111001101111110111111101111110010111d111d111111d1111111011111000000000110011111101111111000000000000000000000000001111111110011100001111d11d1111111111111111001110000111000100111111111111111000000000111000100111111111111111111111111111111111111111111
tileElement, 3, 8 = switch, S
tileElement, 3, 8 = switch, E
tileElement, 3, 8 = switch, W
tileElement, 3, 8 = switch, N
tileElement, 8, 4 = switch, S
tileElement, 8, 4 = switch, E
tileElement, 8, 4 = switch, W
tileElement, 8, 4 = switch, N
tileElement, 8, 13 = switch, S
tileElement, 8, 13 = switch, E
tileElement, 8, 13 = switch, W
tileElement, 8, 13 = switch, N
tileElement, 12, 3 = switch, S
tileElement, 12, 3 = switch, E
tileElement, 12, 3 = switch, W
tileElement, 12, 3 = switch, N
tileElement, 12, 5 = switch, S
tileElement, 12, 5 = switch, E
tileElement, 12, 5 = switch, W
tileElement, 12, 5 = switch, N
tileElement, 17, 5 = switch, S
tileElement, 17, 5 = switch, E
tileElement, 17, 5 = switch, W
tileElement, 17, 5 = switch, N
tileElement, 17, 18 = switch, S
tileElement, 17, 18 = switch, E
tileElement, 17, 18 = switch, W
tileElement, 17, 18 = switch, N
tileElement, 18, 20 = switch, S
tileElement, 18, 20 = switch, E
tileElement, 18, 20 = switch, W
tileElement, 18, 20 = switch, N
tileElement, 19, 23 = switch, S
tileElement, 19, 23 = switch, E
tileElement, 19, 23 = switch, W
tileElement, 19, 23 = switch, N
tileElement, 20, 7 = switch, S
tileElement, 20, 7 = switch, E
tileElement, 20, 7 = switch, W
tileElement, 20, 7 = switch, N
tileElement, 20, 16 = switch, S
tileElement, 20, 16 = switch, E
tileElement, 20, 16 = switch, W
tileElement, 20, 16 = switch, N
tileElement, 22, 20 = switch, S
tileElement, 22, 20 = switch, E
tileElement, 22, 20 = switch, W
tileElement, 22, 20 = switch, N
tileElement, 22, 23 = switch, S
tileElement, 22, 23 = switch, E
tileElement, 22, 23 = switch, W
tileElement, 22, 23 = switch, N
tileElement, 23, 5 = switch, S
tileElement, 23, 5 = switch, E
tileElement, 23, 5 = switch, W
tileElement, 23, 5 = switch, N
tileElement, 25, 8 = switch, S
tileElement, 25, 8 = switch, E
tileElement, 25, 8 = switch, W
tileElement, 25, 8 = switch, N
tileElement, 25, 16 = switch, S
tileElement, 25, 16 = switch, E
tileElement, 25, 16 = switch, W
tileElement, 25, 16 = switch, N
tileElement, 28, 17 = switch, S
tileElement, 28, 17 = switch, E
tileElement, 28, 17 = switch, W
tileElement, 28, 17 = switch, N
tileElement, 29, 20 = switch, S
tileElement, 29, 20 = switch, E
tileElement, 29, 20 = switch, W
tileElement, 29, 20 = switch, N
